MRA_LAB_ID,Location,4:2 Fluorotelomer sulfonate (4:2 FTS),8:2 FTS,N-ethylperfluorooctanesulfonamidoacetic acid (NEtFOSAA),N-methylperfluorooctanesulfonamidoacetic acid (NMeFOSAA),Perfluorobutanoic acid (PFBA),Perfluorobutanesulfonic acid (PFBS),Perfluorodecanoic acid (PFDA),Perfluorodecanesulfonic acid (PFDS),Perfluorododecanoic acid (PFDoA),Perfluoroheptanoic acid (PFHpA),Perfluoro-1-heptanesulfonate (PFHpS),Perfluorohexanoic acid (PFHxA),Perfluorohexanesulfonic acid (PFHxS),Perfluorononanoic acid (PFNA),PFNS,Perfluorooctanoic acid (PFOA),Perfluorooctanesulfonic acid (PFOS),Perfluorooctanesulfonamide (FOSA),Perfluoropentanoic acid (PFPeA),Perfluoropentanesulfonic acid (PFPeS),Perfluorotetradecanoic acid (PFTeDA),Perfluorotridecanoic acid (PFTrDA),Perfluoroundecanoic acid (PFUdA),long chain,shortchain,pfca,pfsa,Fluorotelomer sulfonic acids,Perfluoroalkane sulfonamido substances,SumPFAS,Site,Type,pH,EC,Clay,Silt,Sand,Al,Co,Ni,Cu,Zn,Mo,Fe,Mn,As,Pb,Cd
W044_20230203_PFS_A,Globe/Midland City,0.026,0.018,0.025,0.012,0.024,0.02,0.11,0.12,0.07,0.09,0.12,0.07,0.015,0.012,0.015,0.21,0.1,0.075,0.095,0.02,0.02,0.048,0.095,1.065,0.345,0.844,0.41000000000000003,0.044,0.112,1.4100000000000001,GLMC5,Nonresidential,8.15,155,8.52,31.42,60.06,30651.16,27.59,67.54,477.61,199.55,1.86,38509.91,969.06,9.11,33.5,0.44
W045_20230204_PFS_A,Wheatfields,0.026,0.018,0.025,0.68,2,0.77,0.62,0.38,0.48,0.095,0.12,0.016,0.015,0.012,0.015,0.33,4.8,0.085,0.1,0.095,0.095,0.011,0.36,8.046,3.1020000000000003,4.119,6.194999999999999,0.044,0.79,11.148,Wheatfields1,Nonresidential,7.64,1405.5,6.42,18.78,74.8,15339.44,17.28,38.42,442.65,444.55,2.81,24629.23,706.84,16.43,61.4,1.45
W047_20230203_PFS_A,Globe/Midland City,0.024,0.07,0.1,0.048,1.2,0.018,0.1,0.025,0.014,0.018,0.024,0.015,0.06,0.046,0.06,0.026,0.02,0.07,0.02,0.018,0.075,0.01,0.085,0.8330000000000001,1.313,1.609,0.22499999999999998,0.094,0.21800000000000003,2.1459999999999995,GLMC6,Nonresidential,8.03,237.75,7.3,21.73,70.97,21299.57,19.05,42.92,196.05,149.76,1.08,30414.07,1037.98,6.99,29.1,0.37
W053_20230206_PFS_A,Miami,0.024,0.015,0.02,0.3,8.2,0.013,0.029,2.6,0.027,0.028,0.016,1.8,0.021,0.016,0.22,0.62,0.018,0.012,0.25,0.32,0.023,0.02,0.012,3.969,10.635,11.025,3.2079999999999997,0.039,0.33199999999999996,14.604000000000001,Miami8,Nonresidential,7.455,847.3,13.37,38.27,48.36,18704.63,12.57,26.62,809.58,195.49,7.28,19323.43,1285.83,15.56,62,1.13
W055_20230202_PFS_A,Globe/Midland City,0.028,0.085,10,4.2,0.022,0.013,1.3,0.98,1.6,0.12,1.9,0.07,0.09,0.07,0.075,9.7,10,0.3,0.09,0.12,0.56,0.05,0.29,41.2,0.46299999999999997,13.872,13.177999999999999,0.113,14.5,41.663,GLMC7,Nonresidential,7.805,187.5,11.3,18.12,70.58,18557.25,14.88,36.74,1058.52,587.42,4.49,26672.56,831.36,8.96,151.9,1.85
W058_20230204_PFS_A,Wheatfields,1.9,0.016,3.1,0.028,0.4,0.014,0.03,0.026,0.028,0.028,0.018,0.017,0.022,0.017,0.018,0.59,0.019,0.013,0.022,0.031,0.024,0.022,0.012,3.983,2.4119999999999995,1.1900000000000002,0.148,1.916,3.141,6.3950000000000005,Wheatfields2,Nonresidential,7.68,415.5,14.63,26.61,58.76,21478.07,18.09,40.78,290.96,219.53,2.09,28166.2,923.71,10.34,31.7,0.63
W059_20230203_PFS_A,Wheatfields,2,0.014,2.6,0.024,0.34,0.012,0.026,0.024,0.024,0.025,0.016,0.015,0.02,0.015,0.016,0.022,0.017,0.012,0.019,0.027,0.021,0.019,0.011,2.8810000000000002,2.438,0.537,0.132,2.014,2.636,5.319,Wheatfields3,Nonresidential,8.145,194.75,5.31,19.05,75.64,16961.98,13.25,29.44,500.45,120.6,4.7,23087.09,602.03,7.94,28.2,0.37
W060_20230204_PFS_A,Globe/Midland City,0.022,0.014,0.018,0.025,0.24,0.012,0.027,0.024,0.44,0.026,0.28,0.015,0.02,0.015,0.016,2.9,0.017,0.012,0.019,0.31,0.021,0.019,0.011,3.859,0.644,3.733,0.679,0.036,0.055,4.502999999999998,GLMC9,Nonresidential,7.905,111.5,0.28,19.82,79.9,9601.74,11.3,23.03,850.92,197.76,11.39,13691.51,440.44,7.48,49.5,1.69
WAMI _CTRL_PFAS_A002,Miami,0,0,0,0,0.022,0.011,0.022,0.016,0.011,0.011,0,0.011,0.016,0.011,0,0.044,0.067,0.011,0,0.011,0,0,0.011,0.20900000000000005,0.06599999999999999,0.143,0.121,0,0.011,0.2750000000000001,Miami-Control1,Control,8.55,102.955,18.23,12.98,68.79,16705.37,7.12,17.68,196.48,97.8,4.89,14216.96,342.84,6.41,10.4,0.25
WAMI _CTRL_PFAS_A005,Miami,0,0,0,0,0.064,0.207,0.019,0.014,0.0095,0.064,0,0.043,0.922,0.0095,0,0.1,0.059,0.021,0,0.149,0,0,0.0095,1.1635,0.527,0.3185,1.3510000000000002,0,0.021,1.6905000000000001,Miami-Control2,Control,6.16,704.05,21.3,17.81,60.89,20822.22,9.89,22.76,462.77,109.56,3.4,17390.6,362.52,10.83,21,0.38
WAMI _CTRL_PFAS_A006,Miami,0,0,0,0,0.055,0.151,0.02,0.014,0.01,0.052,0,0.037,0.708,0.01,0,0.081,0.055,0.01,0,0.108,0,0,0.01,0.918,0.40299999999999997,0.27499999999999997,1.036,0,0.01,1.3210000000000002,Miami-Control3,Control,6.005,158.4,6.84,14.22,78.94,10540.04,11.47,26.09,604.79,69.57,30.44,17205.89,464.23,6.56,9.4,0.35
WAMI _CTRL_PFAS_A007,Miami,0,0,0,0,0.107,0.138,0.02,0.014,0.01,0.01,0,0.01,0.052,0.01,0,0.039,0.024,0.01,0,0.01,0,0,0.01,0.189,0.275,0.21600000000000003,0.23800000000000002,0,0.01,0.464,Miami-Control4,Control,5.065,313.25,14.05,16.26,69.69,21061.94,10.91,28.15,615.25,106.63,6.92,21427.88,340.68,9.82,39.3,0.32
